case,fold,dice,iou,precision,recall,tp,fp,fn,tn,n_pred,n_ref,volume_difference,volume_difference_pct
AAA_167,4,0.9489448832058835,0.9028497821316116,0.978473682396332,0.921146139243587,56773,1249,4860,4131422,58022,61633,-3611,-5.858874304349943
AAA_168,1,0.9751091224831427,0.9514272630132804,0.976591144119583,0.973631592101974,31164,747,844,4161549,31911,32008,-97,-0.30304923769057734
AAA_169,2,0.9799594891200282,0.9607064412320581,0.982615396671978,0.977317900151993,75231,1331,1746,4115996,76562,76977,-415,-0.539122075425127
AAA_170,4,0.9855247645908881,0.9714626145540666,0.988060862669998,0.983001652203683,66041,798,1142,4126323,66839,67183,-344,-0.5120342943899499
AAA_171,1,0.9705678485737137,0.9428186668047859,0.983626931805901,0.957850978741318,18203,303,801,4174997,18506,19004,-498,-2.6205009471690173
AAA_172,0,0.9794589820657825,0.9597448459723908,0.99096359496152,0.968218429649656,68759,627,2257,4122661,69386,71016,-1630,-2.2952574067815705
AAA_173,2,0.9828328295439611,0.9662451346156952,0.986885948995414,0.978812866071136,59827,795,1295,4132387,60622,61122,-500,-0.8180360590294821
AAA_174,0,0.9848437759740963,0.9701401150538247,0.980189330724521,0.989542635546325,68131,1377,720,4124076,69508,68851,657,0.9542345063978737
AAA_175,0,0.9794619531988217,0.9597505514555704,0.983109474594474,0.975841397737813,70486,1211,1745,4120862,71697,72231,-534,-0.7392947626365411
AAA_176,3,0.9703642656996868,0.9424345264775565,0.967017082785808,0.973734700628515,44154,1506,1191,4147453,45660,45345,315,0.6946741647370163
AAA_177,3,0.977947259044045,0.9568461781427668,0.978770092350771,0.977125808055694,72705,1577,1702,4118320,74282,74407,-125,-0.1679949467120029
AAA_178,3,0.9504613034024799,0.9055991041433371,0.921432098140247,0.981379105765601,72783,6206,1381,4113934,78989,74164,4825,6.505851895798501
AAA_179,0,0.9729035572107358,0.9472368092023006,0.958946879878486,0.987272490334912,22728,973,293,4170310,23701,23021,680,2.9538247686894574
AAA_180,3,0.9821858306201059,0.9649952419295805,0.977589914720059,0.986825163936881,65914,1511,880,4125999,67425,66794,631,0.9446956313441327
AAA_181,1,0.9742131611185892,0.9497228119839585,0.959055446370079,0.989857700464087,32207,1375,330,4160392,33582,32537,1045,3.2117281863724374
AAA_182,2,0.9686760805677013,0.9392549346677787,0.958983820607437,0.978566256335988,27028,1156,592,4165528,28184,27620,564,2.0419985517740766
AAA_183,1,0.9735147180024624,0.948396177788351,0.986594897811875,0.960776831619537,47839,650,1953,4143862,48489,49792,-1303,-2.6168862467866325
AAA_184,0,0.977900166708853,0.9567560182061945,0.972695860536186,0.983160462626582,112039,3145,1919,4077201,115184,113958,1226,1.0758349567384475
AAA_185,1,0.9798914487417922,0.9605756637694963,0.987908101571947,0.972003855305563,64543,790,1859,4127112,65333,66402,-1069,-1.609891268335291
AAA_186,4,0.9824354920755244,0.9654773573809057,0.987508020532563,0.977414809375434,49249,623,1138,4143294,49872,50387,-515,-1.0220890309008277
AAA_187,2,0.9704821305456236,0.9426569070238281,0.971541387778687,0.969425180582027,60528,1773,1909,4130094,62301,62437,-136,-0.21781956211861556
AAA_188,4,0.9676072288019629,0.9372471948627711,0.981284932241023,0.954305578823924,205065,3911,9819,3975509,208976,214884,-5908,-2.749390368757097
AAA_189,3,0.9692500627037873,0.9403348257737979,0.972257631667226,0.966261043507251,28983,827,1012,4163482,29810,29995,-185,-0.6167694615769295
AAA_190,0,0.9806039430995758,0.9619459840576587,0.977919362867098,0.983303303303303,49116,1109,834,4143245,50225,49950,275,0.5505505505505506
